Epoch,D_fake_loss,D_real_loss,G_adv_loss,G_L1_loss,G_L1_loss_processed
1,0.61,0.792,0.769,47.069,47.069
2,0.576,1.132,0.679,7649.724,200.0
3,0.397,1.273,0.959,7641.508,200.0
4,0.673,0.614,0.718,7638.376,200.0
5,0.678,0.498,0.67,7636.667,200.0
6,0.117,0.335,2.635,2.6662473214774477e+17,200.0
7,0.678,0.719,0.728,125.682,125.682
8,0.025,0.114,4.421,5.409226198121467e+32,200.0
9,0.049,0.279,4.018,2.1698009852647834e+17,200.0
10,0.037,0.209,4.303,2.1697612997669683e+17,200.0
11,0.401,0.103,1.666,85.309,85.309
12,0.503,0.335,1.0,96.355,96.355
14,0.388,0.427,1.199,71.06,71.06
15,0.327,0.182,1.629,87.059,87.059
16,0.434,0.176,1.37,88.363,88.363
17,0.232,0.197,1.712,84.337,84.337
18,0.287,1.642,1.016,72.391,72.391
19,0.292,0.349,1.476,64.661,64.661
20,0.423,0.144,1.688,89.127,89.127
21,0.913,0.579,0.645,93.365,93.365
22,0.294,0.335,1.515,76.892,76.892
23,0.427,0.193,1.235,88.842,88.842
24,0.247,0.281,1.615,80.384,80.384
25,0.033,0.124,3.729,88.002,88.002
26,0.298,0.255,1.524,51.258,51.258
27,0.09,0.075,2.816,64.33,64.33
29,0.411,0.242,1.228,68.131,68.131
31,0.359,1.382,1.34,3.7627574886680494e+20,200.0
32,0.741,0.158,0.859,86.909,86.909
33,0.03,0.138,3.822,79.231,79.231
34,0.272,0.309,1.491,69.25,69.25
35,0.036,0.143,4.251,101.127,101.127
36,0.032,0.117,4.396,94.022,94.022
37,0.074,0.072,4.083,86.294,86.294
38,0.843,0.59,0.647,90.136,90.136
39,0.293,0.211,1.63,93.496,93.496
40,1.922,0.177,0.709,129.701,129.701
42,0.227,0.179,1.9,60.98,60.98
43,0.183,0.181,2.253,61.395,61.395
44,0.265,0.205,1.857,60.571,60.571
45,0.74,0.594,0.708,89.712,89.712
46,0.271,0.18,1.906,65.732,65.732
47,0.642,0.753,0.749,85.773,85.773
48,0.121,0.207,2.264,81.25,81.25
49,0.157,0.249,2.135,70.35,70.35
50,0.705,0.604,0.68,99.86,99.86
