Epoch 00000 | Loss 1.9464 | Accuracy 0.1880 
Epoch 00001 | Loss 1.9397 | Accuracy 0.2120 
Epoch 00002 | Loss 1.9261 | Accuracy 0.2240 
Epoch 00003 | Loss 1.9256 | Accuracy 0.2760 
Epoch 00004 | Loss 1.9034 | Accuracy 0.2940 
Epoch 00005 | Loss 1.9030 | Accuracy 0.3780 
Epoch 00006 | Loss 1.8982 | Accuracy 0.4860 
Epoch 00007 | Loss 1.8753 | Accuracy 0.6160 
Epoch 00008 | Loss 1.8777 | Accuracy 0.6640 
Epoch 00009 | Loss 1.8679 | Accuracy 0.6860 
Epoch 00010 | Loss 1.8494 | Accuracy 0.7020 
Epoch 00011 | Loss 1.8645 | Accuracy 0.6840 
Epoch 00012 | Loss 1.8489 | Accuracy 0.6800 
Epoch 00013 | Loss 1.8220 | Accuracy 0.6920 
Epoch 00014 | Loss 1.8326 | Accuracy 0.6960 
Epoch 00015 | Loss 1.7953 | Accuracy 0.7300 
Epoch 00016 | Loss 1.7850 | Accuracy 0.7660 
Epoch 00017 | Loss 1.7904 | Accuracy 0.7780 
Epoch 00018 | Loss 1.7655 | Accuracy 0.7940 
Epoch 00019 | Loss 1.7701 | Accuracy 0.7940 
Epoch 00020 | Loss 1.7524 | Accuracy 0.7900 
Epoch 00021 | Loss 1.7234 | Accuracy 0.7860 
Epoch 00022 | Loss 1.7273 | Accuracy 0.7800 
Epoch 00023 | Loss 1.7076 | Accuracy 0.7760 
Epoch 00024 | Loss 1.6818 | Accuracy 0.7740 
Epoch 00025 | Loss 1.7091 | Accuracy 0.7640 
Epoch 00026 | Loss 1.6900 | Accuracy 0.7480 
Epoch 00027 | Loss 1.6536 | Accuracy 0.7480 
Epoch 00028 | Loss 1.6603 | Accuracy 0.7500 
Epoch 00029 | Loss 1.6598 | Accuracy 0.7540 
Epoch 00030 | Loss 1.6509 | Accuracy 0.7580 
Epoch 00031 | Loss 1.6176 | Accuracy 0.7580 
Epoch 00032 | Loss 1.5509 | Accuracy 0.7700 
Epoch 00033 | Loss 1.5740 | Accuracy 0.7800 
Epoch 00034 | Loss 1.5982 | Accuracy 0.7860 
Epoch 00035 | Loss 1.5780 | Accuracy 0.7840 
Epoch 00036 | Loss 1.5478 | Accuracy 0.7840 
Epoch 00037 | Loss 1.5215 | Accuracy 0.7840 
Epoch 00038 | Loss 1.5668 | Accuracy 0.7860 
Epoch 00039 | Loss 1.5292 | Accuracy 0.7880 
Epoch 00040 | Loss 1.5083 | Accuracy 0.7920 
Epoch 00041 | Loss 1.4002 | Accuracy 0.7860 
Epoch 00042 | Loss 1.4688 | Accuracy 0.7800 
Epoch 00043 | Loss 1.3906 | Accuracy 0.7820 
Epoch 00044 | Loss 1.4210 | Accuracy 0.7840 
Epoch 00045 | Loss 1.4778 | Accuracy 0.7900 
Epoch 00046 | Loss 1.3922 | Accuracy 0.7920 
Epoch 00047 | Loss 1.4384 | Accuracy 0.7900 
Epoch 00048 | Loss 1.4373 | Accuracy 0.7900 
Epoch 00049 | Loss 1.4755 | Accuracy 0.7920 
Epoch 00050 | Loss 1.3871 | Accuracy 0.7900 
Epoch 00051 | Loss 1.3029 | Accuracy 0.7860 
Epoch 00052 | Loss 1.2716 | Accuracy 0.7880 
Epoch 00053 | Loss 1.3774 | Accuracy 0.7880 
Epoch 00054 | Loss 1.3221 | Accuracy 0.7860 
Epoch 00055 | Loss 1.2473 | Accuracy 0.7880 
Epoch 00056 | Loss 1.2590 | Accuracy 0.7840 
Epoch 00057 | Loss 1.2400 | Accuracy 0.7840 
Epoch 00058 | Loss 1.2890 | Accuracy 0.7880 
Epoch 00059 | Loss 1.2935 | Accuracy 0.7900 
Epoch 00060 | Loss 1.2276 | Accuracy 0.7920 
Epoch 00061 | Loss 1.1996 | Accuracy 0.7980 
Epoch 00062 | Loss 1.2289 | Accuracy 0.8060 
Epoch 00063 | Loss 1.1665 | Accuracy 0.8080 
Epoch 00064 | Loss 1.2110 | Accuracy 0.8060 
Epoch 00065 | Loss 1.2453 | Accuracy 0.8000 
Epoch 00066 | Loss 1.1158 | Accuracy 0.7940 
Epoch 00067 | Loss 1.0840 | Accuracy 0.7860 
Epoch 00068 | Loss 1.1604 | Accuracy 0.7820 
Epoch 00069 | Loss 1.1771 | Accuracy 0.7860 
Epoch 00070 | Loss 1.1983 | Accuracy 0.7900 
Epoch 00071 | Loss 1.1824 | Accuracy 0.7900 
Epoch 00072 | Loss 1.0919 | Accuracy 0.7900 
Epoch 00073 | Loss 1.1162 | Accuracy 0.7880 
Epoch 00074 | Loss 1.1621 | Accuracy 0.7900 
Epoch 00075 | Loss 1.0791 | Accuracy 0.7920 
Epoch 00076 | Loss 1.0931 | Accuracy 0.7860 
Epoch 00077 | Loss 1.0672 | Accuracy 0.7800 
Epoch 00078 | Loss 1.0158 | Accuracy 0.7840 
Epoch 00079 | Loss 1.1272 | Accuracy 0.7860 
Epoch 00080 | Loss 1.0556 | Accuracy 0.7840 
Epoch 00081 | Loss 1.0467 | Accuracy 0.7800 
Epoch 00082 | Loss 0.9354 | Accuracy 0.7820 
Epoch 00083 | Loss 1.0394 | Accuracy 0.7860 
Epoch 00084 | Loss 1.0158 | Accuracy 0.7860 
Epoch 00085 | Loss 0.9666 | Accuracy 0.7920 
Epoch 00086 | Loss 0.9925 | Accuracy 0.7940 
Epoch 00087 | Loss 0.9707 | Accuracy 0.7960 
Epoch 00088 | Loss 1.0320 | Accuracy 0.8020 
Epoch 00089 | Loss 0.9768 | Accuracy 0.8040 
Epoch 00090 | Loss 1.0060 | Accuracy 0.8100 
Epoch 00091 | Loss 0.9907 | Accuracy 0.8080 
Epoch 00092 | Loss 0.9631 | Accuracy 0.8020 
